z, Voltage (V), Electric Field (Newton/Coulomb)
0.00178664 , 1231.21 , -527473
0.00178164 , 1228.57 , -528378
0.00177664 , 1225.92 , -529282
0.00177164 , 1223.28 , -530187
0.00176664 , 1220.62 , -531092
0.00176164 , 1217.96 , -531997
0.00175664 , 1215.3 , -532902
0.00175164 , 1212.64 , -533806
0.00174664 , 1209.96 , -534711
0.00174164 , 1207.29 , -535616
0.00173664 , 1204.61 , -536521
0.00173164 , 1201.92 , -537425
0.00172664 , 1199.23 , -538330
0.00172164 , 1196.54 , -539235
0.00171664 , 1193.84 , -540140
0.00171164 , 1191.14 , -541044
0.00170664 , 1188.43 , -541949
0.00170164 , 1185.72 , -542854
0.00169664 , 1183 , -543759
0.00169164 , 1180.28 , -544663
0.00168664 , 1177.56 , -545568
0.00168164 , 1174.83 , -546473
0.00167664 , 1172.09 , -547378
0.00167164 , 1169.35 , -548282
0.00166664 , 1166.61 , -549187
0.00166164 , 1163.86 , -550092
0.00165664 , 1161.11 , -550997
0.00165164 , 1158.35 , -551901
0.00164664 , 1155.59 , -552806
0.00164164 , 1152.82 , -553711
0.00163664 , 1150.05 , -554616
0.00163164 , 1147.28 , -555520
0.00162664 , 1144.5 , -556425
0.00162164 , 1141.71 , -557330
0.00161664 , 1138.92 , -558235
0.00161164 , 1136.13 , -559139
0.00160664 , 1133.33 , -560044
0.00160164 , 1130.53 , -560949
0.00159664 , 1127.72 , -561854
0.00159164 , 1124.91 , -562758
0.00158664 , 1122.09 , -563663
0.00158164 , 1119.27 , -564568
0.00157664 , 1116.45 , -565473
0.00157164 , 1113.62 , -566378
0.00156664 , 1110.79 , -567282
0.00156164 , 1107.95 , -568187
0.00155664 , 1105.1 , -569092
0.00155164 , 1102.26 , -569997
0.00154664 , 1099.4 , -570901
0.00154164 , 1096.55 , -571806
0.00153664 , 1093.69 , -572711
0.00153164 , 1090.82 , -573616
0.00152664 , 1087.95 , -574520
0.00152164 , 1085.07 , -575425
0.00151664 , 1082.19 , -576330
0.00151164 , 1079.31 , -577235
0.00150664 , 1076.42 , -578139
0.00150164 , 1073.53 , -579044
0.00149664 , 1070.63 , -579949
0.00149164 , 1067.73 , -580854
0.00148664 , 1064.82 , -581758
0.00148164 , 1061.91 , -582663
0.00147664 , 1059 , -583568
0.00147164 , 1056.08 , -584473
0.00146664 , 1053.15 , -585377
0.00146164 , 1050.22 , -586282
0.00145664 , 1047.29 , -587187
0.00145164 , 1044.35 , -588092
0.00144664 , 1041.41 , -588996
0.00144164 , 1038.46 , -589901
0.00143664 , 1035.51 , -590806
0.00143164 , 1032.55 , -591711
0.00142664 , 1029.59 , -592615
0.00142164 , 1026.63 , -593520
0.00141664 , 1023.66 , -594425
0.00141164 , 1020.68 , -595330
0.00140664 , 1017.7 , -596234
0.00140164 , 1014.72 , -597139
0.00139664 , 1011.73 , -598044
0.00139164 , 1008.74 , -598949
0.00138664 , 1005.74 , -599853
0.00138164 , 1002.74 , -600758
0.00137664 , 999.735 , -601663
0.00137164 , 996.725 , -602568
0.00136664 , 993.71 , -603472
0.00136164 , 990.69 , -604377
0.00135664 , 987.666 , -605282
0.00135164 , 984.637 , -606187
0.00134664 , 981.604 , -607092
0.00134164 , 978.566 , -607996
0.00133664 , 975.524 , -608901
0.00133164 , 972.477 , -609806
0.00132664 , 969.426 , -610711
0.00132164 , 966.37 , -611615
0.00131664 , 963.31 , -612520
0.00131164 , 960.245 , -613425
0.00130664 , 957.176 , -614330
0.00130164 , 954.102 , -615234
0.00129664 , 951.023 , -616139
0.00129164 , 947.94 , -617044
0.00128664 , 944.853 , -617949
0.00128164 , 941.761 , -618853
0.00127664 , 938.664 , -619758
0.00127164 , 935.563 , -620663
0.00126664 , 932.458 , -621568
0.00126164 , 929.348 , -622472
0.00125664 , 926.233 , -623377
0.00125164 , 923.114 , -624282
0.00124664 , 919.99 , -625187
0.00124164 , 916.862 , -626091
0.00123664 , 913.729 , -626996
0.00123164 , 910.592 , -627901
0.00122664 , 907.45 , -628806
0.00122164 , 904.304 , -629710
0.00121664 , 901.153 , -630615
0.00121164 , 897.998 , -631520
0.00120664 , 894.838 , -632425
0.00120164 , 891.673 , -633329
0.00119664 , 888.505 , -634234
0.00119164 , 885.331 , -635139
0.00118664 , 882.153 , -636044
0.00118164 , 878.971 , -636948
0.00117664 , 875.784 , -637853
0.00117164 , 872.592 , -638758
0.00116664 , 869.396 , -639663
0.00116164 , 866.196 , -640568
0.00115664 , 862.99 , -641472
0.00115164 , 859.781 , -642377
0.00114664 , 856.567 , -643282
0.00114164 , 853.348 , -644187
0.00113664 , 850.125 , -645091
0.00113164 , 846.897 , -645996
0.00112664 , 843.665 , -646901
0.00112164 , 840.428 , -647806
0.00111664 , 837.187 , -648710
0.00111164 , 833.941 , -649615
0.00110664 , 830.691 , -650520
0.00110164 , 827.436 , -651425
0.00109664 , 824.176 , -652329
0.00109164 , 820.912 , -653234
0.00108664 , 817.644 , -654139
0.00108164 , 814.371 , -655044
0.00107664 , 811.094 , -655948
0.00107164 , 807.812 , -656853
0.00106664 , 804.525 , -657758
0.00106164 , 801.234 , -658663
0.00105664 , 797.938 , -659567
0.00105164 , 794.638 , -660472
0.00104664 , 791.334 , -661377
0.00104164 , 788.025 , -662282
0.00103664 , 784.711 , -663186
0.00103164 , 781.393 , -664091
0.00102664 , 778.07 , -664996
0.00102164 , 774.743 , -665901
0.00101664 , 771.411 , -666805
0.00101164 , 768.075 , -667710
0.00100664 , 764.734 , -668615
0.00100164 , 761.388 , -669520
0.000996638 , 758.039 , -670424
0.000991638 , 754.684 , -671329
0.000986638 , 751.325 , -672234
0.000981638 , 747.962 , -673139
0.000976638 , 744.594 , -674044
0.000971638 , 741.221 , -674948
0.000966638 , 737.845 , -675853
0.000961638 , 734.463 , -676758
0.000956638 , 731.077 , -677662
0.000951638 , 727.686 , -678567
0.000946638 , 724.291 , -679472
0.000941638 , 720.892 , -680377
0.000936638 , 717.488 , -681282
0.000931638 , 714.079 , -682186
0.000926638 , 710.666 , -683091
0.000921638 , 707.248 , -683996
0.000916638 , 703.826 , -684901
0.000911638 , 700.399 , -685805
0.000906638 , 696.968 , -686710
0.000901638 , 693.532 , -687615
0.000896638 , 690.092 , -688520
0.000891638 , 686.647 , -689424
0.000886638 , 683.197 , -690329
